query_id;query;calls;tempo;data_hora
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:22:09.907323200
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:22:09.907323200
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:22:09.907323200
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;14;9.1127;2021-10-09T14:22:09.907823400
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:25:28.358476300
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:25:28.358976200
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:25:28.358976200
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;16;9.6931;2021-10-09T14:25:28.358976200
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:28:44.495872400
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:28:44.496372400
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:28:44.496372400
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;18;10.2799;2021-10-09T14:28:44.496372400
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:29:31.207916500
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:29:31.207916500
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:29:31.207916500
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;20;10.7132;2021-10-09T14:29:31.208416700
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:29:59.287093200
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:29:59.287093200
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:29:59.287093200
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;22;11.158000000000001;2021-10-09T14:29:59.287093200
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:31:02.971419
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;3;32.673;2021-10-09T14:31:02.971419
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:31:02.971419
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;24;11.5813;2021-10-09T14:31:02.971419
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_size
from pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:37:06.528330900
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;4;43.057700000000004;2021-10-09T14:37:06.528330900
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:37:06.528330900
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;26;12.071100000000001;2021-10-09T14:37:06.528330900
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_sizefrom pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:40:32.878507400
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;4;43.057700000000004;2021-10-09T14:40:32.878507400
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:40:32.879007300
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;28;12.551700000000002;2021-10-09T14:40:32.879007300
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_sizefrom pg_database t1 order by pg_database_size(t1.datname) desc;2;310.4036;2021-10-09T14:40:52.426363200
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;4;43.057700000000004;2021-10-09T14:40:52.426363200
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;2;24.560299999999998;2021-10-09T14:40:52.426363200
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;30;13.080700000000002;2021-10-09T14:40:52.426363200
1570176449669227211;select t1.datname AS db_name, pg_size_pretty(pg_database_size(t1.datname)) as db_sizefrom pg_database t1 order by pg_database_size(t1.datname) desc;5;543.661;2021-10-09T14:49:54.114758
201740437650917847;select indexrelid, indexrelname, idx_blks_read, idx_blks_hit from pg_statio_all_indexes order by idx_blks_read, idx_blks_hit desc limit $1;6;65.3078;2021-10-09T14:49:54.115259
-3282222094897798068;select distinct  datname, xact_rollback, xact_commit from pg_stat_database order by xact_rollback  desc limit $1;4;45.50769999999999;2021-10-09T14:49:54.115259
-3809315224760506679;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc limit $1;35;14.189700000000002;2021-10-09T14:49:54.115259
4028021764499350004;select queryid, query, calls, total_exec_time from pg_stat_statements order by total_exec_time desc;1;0.18589999999999998;2021-10-09T14:49:54.115259
